brewer_name,address,city,district,rbid,active,founded,brewer_type,score,lat,lon,web,hours,description,phone
Hochholzer Brauhaus,Hochholz 4a,Solnhofen,Middle,12013,1,2010,Brewery,0,48.90076,11.02949,http://www.hochholzer-brauhaus.de,,,9145 837237
Hohe-Wart-Bräu,Gabelsbergerstr. 9,Aschaffenburg,Lower,10118,1,2008,Brewpub,0,49.96997,9.14883,http://www.hohewart-haus.de,Daily 10.00-22.00,,602 33980
Homburger Bräuscheuere,Zeller Tor 6,Triefenstein,Lower,9500,1,2007,Brewpub,0,49.79269,9.62337,http://www.braeuscheuere.de,Mon Tue closed; Wed-Sat: 17.30-24.00; Sun & holidays: 11.30-23.00,,9395 876882
Hönicka-Bräu,Hofer Strasse 31,Wunsiedel,Upper,2906,1,1778,Brewery,0,50.041575,11.996157,http://www.hoenicka.de,shop: Mon-Fri 7.00-12.00 & 13.00-17.00; Sat 9.00-12.00,,9232 2044
Hübner Bräu,Steinfeld 69,Stadelhofen-Steinfeld,Upper,4278,1,1904,Brewery,0,49.978067,11.154635,http://www.huebner-braeu.de,Fri 12.00-23.00; Sat-Wed 9.00-23.00; Thu closed; Jan-Mar: Sat-Thu 9.00-23.00; Fri closed,,9207 259
Hübner-Bräu Wattendorf,Hauptstrasse 28,Wattendorf,Upper,5972,1,1806,Brewery,0,50.032672,11.12652,http://www.brauerei-huebner.de,Mon 16.00-23.00; Tue Thu-Sun 11.30-23.00; Wed closed,,9504 207
Jahns-Bräu (Christoph Jahn Erben Brauerei),Kronacher Strasse 22,Ludwigsstadt,Upper,1775,0,0,Brewery,0,50.483726,11.392237,http://www.jahns-braeu.de,Tue-Wed 14.30-18.00; Thu-Fri 9.00-12.00; 14.30-18.00; Sat 9.00-12.30,,
Jura-Bräu,Am Buchauer Berg 8,Pegnitz,Upper,5191,1,1900,Brewery,0,49.758562,11.542908,http://www.jura-braeu.de,Mon-Fri 7.00-12.00; 13.00-16.00; Sat 9.00-11.30,,9241 2019
Kaiser Bräu,Oberer Markt 1,Neuhaus an der Pegnitz,Middle,2545,1,1929,Brewery,0,49.62828,11.54975,http://www.kaiser-braeu.de,Mon-Thu 7.00-16.30; Fri 7.00-13.00; Sat 8.00-11.30,,9156 880
Kaiserdom Privatbrauerei,Breitackerstr. 9,Bamberg-Gaustadt,Upper,586,1,1900,Brewery,0,49.90425,10.85236,http://www.kaiserdom.de,,,951 60450
Kaiserhof-Bräu,Friesener Str. 1,Kronach,Upper,6338,1,1879,Brewery,0,50.241055,11.327909,http://www.kaiserhofbraeu.de,Tue-Sun 10.00-14.00; 17.00-24.00; Mon closed,,9261 628000
Kalt-Loch Bräu,Hauptstrasse 201,Miltenberg,Lower,4805,0,0,Brewery,0,49.699302,9.250601,http://www.kaltlochbraeu.de,Thu-Tue 11.00-22.00; Wed closed,,9371 2283
Karmeliter Bräu,Ludwig-Elsbett-Strasse 8,Bad Neustadt-Salz,Lower,6013,1,1753,Brewery,0,50.296883,10.193424,http://www.karmeliter-braeu.de,Mon-Thu 7.00-12.00; 13.30-16.00; Fri 7.00-12.00; 13.30-15.00,,9771 1323
Kathi-Bräu,Heckenhof 1,Aufsess-Heckenhof,Upper,6221,1,1753,Brewpub,0,49.879362,11.24434,,Daily from 9,,9198 277
Kauzen-Bräu,Uffenheimer Strasse 17,Ochsenfurt,Lower,3179,1,1809,Brewery,0,49.659696,10.071217,http://www.kauzen.de,,,9331 87250
Keiler Bier (Würzburger Hofbräu),Ludwigstrasse 2,Lohr am Main,Lower,1849,1,1878,Brewery,0,49.99514,9.57155,http://www.keilerbier.de,,,9314 1090
Kelterei Stenger Hösbach,Industriestr. 12,Hösbach,Lower,18798,1,2014,Brewery,0,50.00886,9.22235,http://www.stengersfruchterlebnis.de/index.html,,,6021 4488844
Kleinbrauerei Schorschbräu,Oberasbach 16a,Gunzenhausen-Oberasbach,Middle,1506,1,1999,Brewery,0,49.10345,10.78748,http://www.schorschbraeu.de,,,9831 1868
Klosterbräu Bamberg,Obere Mühlbrücke 1,Bamberg,Upper,1815,1,2001,Brewpub,0,49.8891,10.88699,http://www.klosterbraeu.de,,,9515 2265
Klosterbräu Marienweiher,Marienweiher 6,Marktleugast,Upper,12020,0,0,Brewpub,0,50.15787,11.63546,http://www.kloster-gasthof.de,Daily from 11.00,,9255 8077350
Klosterbrauerei Kreuzberg,Kreuzberg 2,Bischofsheim an der Rhön,Lower,4421,1,2004,Brewery,0,50.370726,9.975329,http://www.kreuzbergbier.de/brauerei/index.php,Dec-Oct: Mon-Sun 8.00-20.00,,9772 91240
Klosterbrauerei Münnerstadt (Rother Bräu),Am Dicken Turm 14,Münnerstadt,Lower,3104,1,1753,Brewery,0,50.251106,10.193054,http://www.rotherbraeu.de/brauerei/kloster-muennerstadt/,,,9733 9407
Klosterbrauerei Weissenohe,Klosterstrasse 20,Weissenohe,Upper,3892,1,1753,Brewery,0,49.629362,11.252383,http://www.klosterbrauerei-weissenohe.de,brewery: Mon-Fri 7.30-18.00; Sat 9.00-12.30;  pub: Tue 15.00-24.00; Wed-Sun 11.00-24.00; Mon Tue closed,,9192 591
Kommunbrauhaus Neuhaus an der Pegnitz,Plecher Strasse 5,Neuhaus an der Pegnitz,Middle,5139,1,2004,Brewery,0,49.629671,11.549738,,,,
Kommunbrauhaus Sesslach,Pfarrgasse 105,Sesslach,Upper,9985,1,1753,Brewery,0,50.187605,10.8416,http://www.gasthof-reinwand.de/brauhaus.htm,,,9569 452
Krug-Bräu Breitenlesau,Breitenlesau 1b,Waischenfeld-Breitenlesau,Upper,2034,1,1834,Brewery,0,49.86165,11.29092,http://www.krug-braeu.de,Tue-Sun 8.00-24.00; Mon closed,,9202 535
Kulmbacher Brauerei (Schörghuber),Lichtenfelser Strasse 9,Kulmbach,Upper,897,1,1872,Brewery,0,50.106,11.44418,http://www.kulmbacher.de,brewery: Mon-Thu 8.00-16.00; Fri -15.00; Sat 9.00-11.02,,9221 7050
Kulmbacher Kommunbräu,Grünwehr 17,Kulmbach,Upper,6922,1,1992,Brewpub,0,50.110529,11.465208,http://www.kommunbraeu.de,Daily from 10.00,,9221 84490
Lammbräu Eltmann,Dr.-Georg-Schäfer-Strasse,Eltmann,Lower,3765,0,0,Brewery,0,49.967352,10.663506,,brewing ceased 2005,,
Lammbräu Walter Dauer,Forchheimer Strasse,Strullendorf,Upper,2580,0,0,Brewpub,0,49.844904,10.968994,http://www.bierdeckelsammler.net/deu_brauerei_show_1364.htm,brewing ceased 1983,,
Landwehr-Bräu Wilhelm Wörner,Reichelshofen 31,Steinsfeld-Reichelshofen,Middle,2628,1,1755,Brewery,0,49.440006,10.21264,http://www.landwehr-braeu.de,shop: Mon-Thu 7.00-16.30; Fri 7.00-12.00; brewpub: Mon-Sun 7.00-23.00,,9865 9890
Lang-Bräu,Bayreuther Strasse 18,Wunsiedel-Schönbrunn,Upper,2908,1,1853,Brewery,0,50.027264,11.96979,http://www.lang-braeu.de,shop: Mon-Fri 7.00-18.00; Sat 8.00-12.00,,9232 2197
Lindenbräu Strullendorf,Forchheimer Strasse,Strullendorf,Upper,694,0,0,Brewpub,0,49.842022,10.971706,,brewing ceased 1982,,
Löwen-Bräu Hennemann,Am Dorfbrunnen 13,Stublang,Upper,5968,1,2005,Brewery,0,50.078046,11.043764,http://www.brauerei-hennemann.de,Mon closed,,9573 96100
Löwenbräu Buttenheim,Marktstrasse 8,Buttenheim,Upper,2996,1,1880,Brewery,0,49.801823,11.031673,http://www.loewenbraeu-buttenheim.de,brewery: Mon-Sun 7.00-18.00;  brewpub: Tue-Sun 9.00-24.00; Mon closed,,9545 332
Löwenbräu Neeb,Michelsberg 1,Oberaurach-Unterschleichach,Lower,3806,0,0,Brewery,0,49.942939,10.605491,,Mon-Sun 10.00-24.00; Wed closed,,9529 277
Löwenbräu Neuhaus,Neuhauser Hauptstr. 3,Adelsdorf-Neuhaus,Middle,3005,1,1753,Brewery,0,49.68892,10.87519,http://www.zum-loewenbraeu.de,Wed-Sun 10.00-14.00; Mon-Sun 17.30-23.00,,9195 7221
Löwenbräu Vestenberg,Vestenberg Nr. 13,Petersaurach-Vestenberg,Middle,8298,0,0,Brewery,0,49.328056,10.688889,,Tue-Sat 9.00-23.00; Sun 17.00-23.00; Mon closed,,9852 7215
Mahrs Bräu,Wunderburg 10,Bamberg,Upper,898,1,1895,Brewery,0,49.8901,10.90668,http://www.mahrs.de,Mon-Sun 9.00-23.00,,951 915170
Maisel Bräu Bamberg,Moosstrasse 46,Bamberg,Upper,684,0,0,Brewery,0,49.89278,10.91305,http://www.maisel-bamberg.com,Closed 2008,,
Martinsbräu,Georg-Mayr-Strasse 4,Marktheidenfeld,Lower,3405,1,1883,Brewery,0,49.849207,9.601738,http://www.martinsbraeu.de,Shop: Mon-Fri 7.00-17.00; Sat 9.30-11.00,,9391 50080
Meinel-Bräu,Alte Plauener Strasse 24,Hof,Upper,4143,1,2003,Brewery,0,50.326364,11.917026,http://www.meinel-braeu.de,,,9281 3514
Mühlenbräu Merklein,Brückenstrasse 19,Stegaurach-Mühlendorf,Upper,5758,1,1793,Brewery,0,49.868829,10.812641,http://www.bierland-oberfranken.de/deutsch/brauereien/brauereiportraits,Mon from 16.00; Wed-Sun from 11.00; Tue closed,,951 29119
Müller Franz Brauerei Debring,Würzburger Strasse 1,Stegaurach-Debring,Upper,5759,1,1872,Brewery,0,49.857745,10.857537,http://www.bierland-oberfranken.de/deutsch/brauereien/bierverkostungen/,Tue-Sun 11.00-24.00; Mon closed,,951 29191
Museums-Brau-Gasthaus Jägersruh,Nepomukgasse 1,Bad Kissingen-Garitz,Lower,8341,1,2007,Brewpub,0,50.19115,10.05342,http://www.staerkerbraeu.de,Wed-Sat from 18.00. Mon; Tue; Sun & holidays - closed. Closed from 1.8 to 16.9.,,971 66899
Nikl-Brau,Egloffsteiner Strasse 19,Pretzfeld,Upper,10043,1,2008,Brewery,0,49.755972,11.175689,http://www.brauerei-nikl.de,Mon & Thu from 17.00; Fri-Sun from 9.30; Tue Wed closed,,9194 725025
Oberstreuer Brauhaus,Schmalzgasse 7,Oberstreu,Lower,12038,1,2010,Brewery,0,50.401551,10.287447,http://www.bier1.de/OberstreuerBrauhausbier.htm,shop: Sat 13.30-15.00,,
Oechsner Ankerbräu,Klinge 2,Ochsenfurt,Lower,3054,1,1863,Brewery,0,49.66276,10.06016,http://www.oechsner.de,Mon-Fri 7.00-11.30 & 13.00-16.00,,9331 87660
Pax Bräu Oberelsbach,Rathgeberstrasse 7,Oberelsbach,Lower,11198,1,2009,Brewery,0,50.441615,10.117619,http://www.pax-braeu.de,,,178 8068958
Privat-Brauerei Leitner,Nürnberger Strasse 19,Schwabach,Middle,8465,0,0,Brewery,0,49.33133,11.02181,http://www.leitner-brauerei.de,closed December 2010,,9122 92650
Privatbrauei Friedrich Düll,Landstrasse 4-8,Volkach-Krautheim,Lower,3404,1,1753,Brewery,0,49.88567,10.28888,http://www.krautheimer.com,Mon-Thu 8.00-17.00; Fri 8.00-13.00;  brewpub: Mon & Fri from 15.00; Sat & Sun/hols from 11.00,,9381 507
Privatbrauerei Brauwastl,Annafest im Kellerwald,Forchheim,Upper,20306,1,2014,Brewery,0,49.721306,11.069883,http://www.brauwastl.de,,,
Privatbrauerei Bürgerbräu Naila A.Wohn,Hofer Strasse 21,Naila,Upper,7765,1,1928,Brewery,0,50.327367,11.711566,http://buergerbraeu-naila.de,,,9282 96090
Privatbrauerei Günther,Kulmbacher Strasse 36,Burgkunstadt,Upper,4244,1,1840,Brewery,0,50.139864,11.25105,http://www.guenther-braeu.de,Mon-Sun 12.00-22.00,,9572 386650
Privatbrauerei Heller,Hauptstrasse 33,Herzogenaurach,Middle,8130,1,1874,Brewery,0,49.568751,10.881239,http://www.brauerei-heller.de,brewery: Mon-Fri 7.30-17.30; Sat 8.00-12.30;  brewpub: daily 9.00-13.00; Mon-Wed 15.00-22.00,,9132 2073
Privatbrauerei Hofmann,Dettendorfer Strasse 1,Pahres,MIddle,2134,1,1753,Brewery,0,49.61831,10.65687,http://www.hofmann-bier.de,,,9163 99870
Privatbrauerei Kesselring,Leithenbukweg 13,Marktsteft,Lower,3147,1,1753,Brewery,0,49.70025,10.13635,http://www.kesselring-bier.de,Mon-Fri 8.00-17.00; Sat (Mar-Oct) 9.00-11.00,,9332 50630
Privatbrauerei Lang Waltershausen,Charlotte-von-Kalb-Str. 13,Saal-Waltershausen,Lower,3213,1,1844,Brewery,0,50.33728,10.386863,http://www.brauerei-lang.de,,,9762 9292
Privatbrauerei Michael,Kirchenlamitzer Str. 64,Weissenstadt,Upper,6665,1,1906,Brewery,0,50.105224,11.88956,http://www.brauerei-michael.de,,,9253 265
Privatbrauerei Nothhaft,Ottostrasse 30,Marktredwitz,Upper,1683,1,1882,Brewery,0,49.999221,12.086493,http://www.brauerei-nothhaft.de,Tue-Sun 10.00-24.00; Mon closed,,9231 2077
Privatbrauerei Peter,Nordheimer Strasse 14,Ostheim vor der Rhön,Lower,4077,1,1827,Brewery,0,50.459871,10.221157,http://www.bionade.de,,,9777 91010
Privatbrauerei Reh,Ellertalstr. 36,Lohndorf,Upper,3792,1,1901,Brewery,0,49.916196,11.050783,http://www.reh-bier.de,Mon-Fri 8.00-19.00; Sat 9.00-17.00,,9505 210
Privatbrauerei Reindler Jochsberg,Am Ring 5,Leutershausen-Jochsberg,Middle,8364,1,1753,Brewery,0,49.3116,10.39046,http://www.brauerei-reindler.de,Mon-Sun 9.00-23.00; last weekend of each month closed,,9823 203
Privatbrauerei Schäffbräu,Bahnhofstrasse 48,Treuchtlingen,Middle,1794,0,0,Brewery,0,48.9585,10.90968,,,,
Privatbrauerei Scherdel Hof (Schörghuber),Unterkotzauer Weg 14,Hof,Upper,1161,1,1831,Brewery,0,50.32314,11.91155,http://www.scherdelbier.de,,,9281 8960
Privatbrauerei Stöckel,Nr. 4,Ahorntal-Hintergereuth,Upper,1743,1,1866,Brewpub,0,49.85094,11.454169,http://www.stoeckel-braeu.de,Mon-Sun 9.00-24.00,,9246 275
Privatbrauerei Streck-Bräu,Ludwig-Jahn-Strasse 11,Ostheim vor der Rhön,Lower,6920,1,1753,Brewery,0,50.454627,10.227488,http://www.streckbier.de,Mon-Fri 07.30-12.00; 13.00-17.00;  Sat 09.00-12.00,,9777 92 65
Privatbrauerei Ulrich Martin (Brauerei Martin),Hauptstr. 5,Schonungen-Hausen,Lower,10782,1,2009,Brewery,0,50.07002,10.311,http://brauerei-martin.de,Mon Wed Thu 12.00-23.00; Fri-Sat 12.00-24.00; Sun & hol 10.30-23.00; Tue closed,,9727 403011
Privatbrauerei Vasold & Schmitt,Schellenberger Weg 3,Neunkirchen am Brand,Upper,4396,1,2004,Brewery,0,49.61163,11.135625,http://mon.de/mfr/Vasold&Schmitt.141946/home.htm,,,0913 4644
Privatbrauerei Wurm,Hutgasse 2,Pappenheim-Bieswang,Middle,9505,1,2008,Brewery,0,48.92842,11.03585,http://www.bierdeckelsammler.net/deu_brauerei_show_2634.htm,,,9143 837950
Private Brauerei Georg Wolf,Brauereistrasse 2,Reichenberg-Fuchsstadt,Lower,3862,0,0,Brewery,0,49.69851,9.97302,http://www.wolf-bier.de,brewing ceased in October 2009,,9333 97120
Privater Brauereigasthof Greifenklau,Laurenziplatz 20,Bamberg,Upper,1940,1,1753,Brewery,0,49.884505,10.881722,http://www.greifenklau.de,Tue-Sat 9.00-23.30; Sun 9.30-14.00; Mon closed,,9515 3219
Püls Bräu,Burgkunstadter Str. 41,Weismain,Upper,2575,1,2002,Brewery,0,50.087757,11.239077,http://www.weismainer.de,,,9575 92290
Pyraser Landbrauerei,Pyras 26,Thalmässing,Middle,4623,1,1870,Brewery,0,49.149166,11.217206,http://www.pyraser.de,,,9174 47470
Red Castle Brew,Schlosshof 1,Heroldsberg,Middle,20462,1,2014,Brewery,0,49.54,11.157632,http://www.red-castle-brew.de,,,9115 6929884
Ritter St Georgen-Brauerei,Marktplatz 1,Nennslingen,Middle,3244,1,1753,Brewery,0,49.04722,11.13231,http://www.ritter-bier.de,Mon Wed Thu 16.00-23.00; Fri Sat 11.00-13.00; 16.00-23.00; Sun 10.00-13.00; 16.00-23.00;Tue closed,,9147 246
Roppelt-Bräu Trossenfurt,An der Steige 2,Oberaurach-Trossenfurt,Lower,4121,1,1753,Brewpub,0,49.924762,10.664973,http://www.brauereiroppelt.de,Wed-Mon 9.00-24.00; Tue closed,,9522 1840
Rother Bräu,Birkenweg 2,Hausen/Rhoen,Lower,2193,1,2002,Brewery,0,50.49,10.11991,http://www.rotherbraeu.de,,,9779 81010
Schanzenbräu,Adam-Klein Strasse 11,Nürnberg,Middle,10703,1,2006,Brewpub,0,49.44999,11.05302,http://www.schanzenbraeu.de,Mon-Sat 17.00-01.00; Sun from 11.00,,911 93776791
Scheubel Sternbräu Schlüsselfeld,Kirchplatz 12,Schlüsselfeld,Upper,3712,1,1828,Brewery,0,49.75751,10.61979,http://www.brauerei-scheubel.de,,,9552 320
Schlossbrauerei Reckendorf,Mühlweg 16,Reckendorf,Upper,3021,1,1753,Brewery,0,50.02231,10.82964,http://www.recken.de,Wed-Fri Sun & Mon 9.00-23.00; Sat 12.00-23.00; Tue closed,,9544 94210
Schlossbrauerei Stelzer Fattigau,Hauptstr. 3,Oberkotzau-Fattigau,Upper,4132,1,1753,Brewery,0,50.243828,11.935509,http://www.schlossbrauerei-stelzer.de,shop: Mon-Fri 7.30-18.00; Sat 7.30-14.00;  brewpub: Mon-Sun 11.00-24.00,,9286 6260
Schmitt Bräu,Oberend 19,Schesslitz,Upper,4850,1,2004,Client Brewer,0,49.978015,11.03541,,,,9542 563
Schwanen Bräu Ebermannstadt,Marktplatz 2,Ebermannstadt,Upper,2577,1,1812,Brewpub,0,49.77993,11.18691,http://www.schwanenbraeu.de,Mon-Sat 9.00-24.00; Sun 9.00-15.00,,9194 209
Schwanen-Bräu Ebing,Marktplatz 11,Ebing,Upper,6175,1,2005,Brewery,0,50.008355,10.905134,http://www.schwanen-braeu-ebing.de,Thu closed,,9647 481
Schwanenbräu Burgebrach,Hauptstrasse 16,Burgebrach,Upper,5764,1,1753,Brewery,0,49.827899,10.741244,http://www.schwanawirt.de,Mon-Fri from 15.30; Sat from 11.00; Sun from 9.00; Tue closed,,9546 306
Schwind Bräu,Schweinheimer Strasse 117,Aschaffenburg-Schweinheim,Lower,5671,1,1761,Brewery,0,49.959813,9.162511,http://www.schwindbraeu.de,,,6021 930092
Seelmannbrau,Hauptstrasse 15,Zettmannsdorf,Upper,3710,1,1847,Brewery,0,49.866351,10.654718,http://www.brauerei-seelmann.com,Closed 2005; reopened Aug. 2007,,9546 595990
Seinsheimer Kellerbräu,Kirchengaden am Rathausplatz,Seinsheim,Lower,5848,1,2002,Brewery,0,49.641083,10.222416,http://www.seinsheimer-kellerbier.de,Fridays only 10.30-19.00 (see website),,9332 592719
Sonnen Bräu Mürsbach,Zaugendorfer Strasse 4,Rattelsdorf-Mürsbach,Upper,5970,1,1868,Brewery,0,50.061288,10.864342,http://www.gasthaus-schmitt.de,Tue-Sun 10.00-24.00; Mon closed,,9533 981017
Sonnenbräu Lichtenberg,Nailaer Str. 20,Lichtenberg,Upper,6351,1,1904,Brewery,0,50.380799,11.675707,http://sonnenbraeu-lichtenberg.brauereien.bierland-oberfranken.de,Mon-Fri 7.00-12.00; 13.00-17.00; Sat 9.00-13.00,,9288 304
Spessart-Brauerei,Junkergasse 2,Kreuzwertheim,Lower,6344,1,1887,Brewery,0,49.763315,9.516743,http://www.spessart-specht.de,,,9342 4401
St. Georgen Bräu,Marktstrasse 12,Buttenheim,Upper,796,1,1753,Brewery,0,49.802001,11.032392,http://www.georgenbraeu.de,brewery: Mon-Thu 8.00-16.00; Fri -15.00; Sat 9.00-11.00; brewpub: Mon-Sun 11.30-23.00,,9545 4460
Stadtbrauerei Spalt,Brauereigasse 3,Spalt,Middle,3950,1,1879,Brewery,0,49.174298,10.925198,http://www.spalter-bier.de,,,9175 79610
Staffelberg-Bräu,Am Mühlteich 4,Bad Staffelstein-Loffeld,Upper,1970,1,1856,Brewery,0,50.078905,11.0236,http://www.staffelberg-braeu.de,Mon-Sat: 7.00-18.00,,9573 5925
Steinbach Bräu,Vierzigmannstrasse 4,Erlangen,Middle,8183,1,1995,Brewpub,0,49.602543,11.005038,http://www.steinbach-braeu.de,Mon-Sun from 17.00,,9131 895912
Sternbräu Elsendorf,Braugasse 2,Schlüsselfeld-Elsendorf,Upper,3758,0,0,Brewery,0,49.741446,10.666448,http://www.landgasthof-sternbraeu.de,Mon & Wed-Fri from 17.00; Sat from 10.30; Sun from 9.00; Tue closed,,9552 310
Thuisbrunner Elch-Bräu,Thuisbrunn 11,Gräfenberg-Thuisbrunn,Upper,8902,1,2007,Brewpub,0,49.68696,11.24792,http://www.gasthof-seitz.de,Mon 10.00-14.00; Tue & Fri-Sun from 10.00; Wed & Thu closed,,9197 221
Thurnauer Braufreunde e.V.,Zaunwiesenweg 24,Nürnberg,Middle,14129,1,2012,Brewery,0,49.46159,11.155445,http://www.thurnauer-braufreunde.de,,,911 6604620
Tucher Bräu Fürth (Oetker Group),Tucherstrasse 10,Fürth,Middle,4880,1,1753,Brewery,0,49.441709,10.996279,http://www.tucher.de,,,9119 7760
Turmbräu Rothenburg o.d.T.,Rödergasse 1,Rothenburg ob der Tauber,Middle,7885,1,2006,Brewpub,0,49.3773,10.18138,http://www.turmbraeu.com,,,9861 94280
Unsere kleine Hümmer-Bräu,Bühlstrasse 35,Breitengüssbach,Upper,16754,1,2013,Brewery,0,49.9706,10.88238,http://www.franconiabeerguide.com/hummer.php,,,
Wagner-Bräu Kemmern,Hauptstrasse 15,Kemmern,Upper,2013,1,2001,Brewery,0,49.95359,10.87474,http://www.brauerei-wagner.de,,,9544 6746
Waldschloss-Brauerei,Orber Strasse 103,Frammersbach,Lower,8320,1,2007,Brewery,0,50.075872,9.462817,http://www.waldschloss-brauerei.de,Mon-Sun 10.30-12.00 & 15.00-20.00,,9355 97340
Weibs Brauhaus,Untere Schmiedgasse 13,Dinkelsbühl,Middle,8468,1,1999,Brewpub,0,49.070281,10.316998,http://www.weibsbrauhaus.de,Wed 18.00-1.00; Thu-Mon 11.00-23.00; Tue closed,,9851 579490
Weiss-Rössl-Bräu,Frankenstrasse 26,Rossstadt,Lower,3793,1,2003,Brewery,0,49.94586,10.72451,,,,9522 92290
Wernecker Bierbrauerei,Schönbornstrasse 2,Werneck,Lower,577,1,1753,Brewery,0,49.982262,10.100017,http://www.wernecker-bier.de,Mon-Sun 11.00-24.00,,9722 91500
Weyermann Versuchsbrauerei,Brennerstrasse 17,Bamberg,Upper,8167,1,1879,Brewery,0,49.90463,10.89742,http://www.weyermann.de,Mon-Thu 7.00-16.00; Fri 7.00-14.00,,9519 322016
Wilde Rose Bräu-Keller,Oberer Stephansberg 49,Bamberg,Upper,2997,1,2002,Client Brewer,0,49.884837,10.887531,http://www.wilde-rose-keller.de,Mon-Fri 16.00-23.00; Sa Su & holiday 15.00-23.00,,9515 7691
Will Bräu (Hochstiftliches Brauhaus Fulda),Brückenauer Strasse 6,Motten,Lower,2629,1,1791,Brewery,0,50.39492,9.77239,http://www.will-braeu.de,shop: Mon-Fri 8.00-16.30;  brewpub: Wed-Mon 10.00-24.00; Tue closed,,9748 710
Wittelsbacher Turm Bräu,Am Wittelsbacher Turm,Bad Kissingen,Lower,9494,1,2008,Brewpub,0,50.200734,10.080392,http://www.wittelsbacher-turm.de,Feb-Oct: Mon-Wed 11.00-23.00; Thu-Sat 11.00-24.00; Sun/hols 10.00-23.00;  Nov-Jan: Tue Wed 11.00-22.00; Thu-Sat 11.00-24.00; Sun,,9717 858820
Wolfshöher Privatbrauerei,Zur Wolfshöhe 3,Neunkirchen am Sand,Middle,1982,1,1872,Brewery,0,49.544714,11.326758,http://www.wolfshoeher.de,,,9153 92620
Würzburger Hofbräu (Schörghuber),Höchberger Strasse 28,Würzburg,Lower,878,1,1753,Brewery,0,49.79198,9.91499,http://www.wuerzburger-hofbraeu.de,brewery: Mon-Thu 8.00-16.00; Fri -15.00; Sat 9.00-11.01,,931 41090
Zeltbräu,Schleizer Strasse 28,Hof,Upper,695,0,2000,Brewery,0,50.32616,11.91406,http://www.xn--zeltbru-bxa.de/,,,